iso,nodetype,node,curve,year,error
ercot,node,SRWE1_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,STEA_STEAM_3,fmm,2017,Error: Bad frequency in data
ercot,node,CBECII_2,fmm,2017,Error: Bad frequency in data
ercot,node,DC2SES_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,EXN_1_3,fmm,2017,Error: Bad frequency in data
ercot,node,FERGCC_ST1_5,fmm,2017,Error: Bad frequency in data
ercot,node,FORMOSA_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,HB_NORTH,fmm,2017,Error: Bad frequency in data
ercot,node,LHSES_UNIT2,fmm,2017,Error: Bad frequency in data
ercot,node,LONEWOLF_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,LPCCS_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,MOZART_WIND1,fmm,2017,Error: Bad frequency in data
ercot,node,NCARBIDEG8,fmm,2017,Error: Bad frequency in data
ercot,node,OXY_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,PB2SES_CT2,fmm,2017,Error: Bad frequency in data
ercot,node,PH1_UNIT1_2,fmm,2017,Error: Bad frequency in data
ercot,node,TNP_TNP_O_1,fmm,2017,Error: Bad frequency in data
ercot,node,UCC_UCC_C_1,fmm,2017,Error: Bad frequency in data
ercot,node,WNDTS2_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,IN_INDNENR_2,fmm,2017,Error: Bad frequency in data
ercot,node,CHAMON_UN2,fmm,2017,Error: Bad frequency in data
ercot,node,SANDHSYD3_4,fmm,2017,Error: Bad frequency in data
ercot,node,HHOLLW3_WND1,fmm,2017,Error: Bad frequency in data
ercot,node,SCLP_PUN3,fmm,2017,Error: Bad frequency in data
ercot,node,SDSES_PUN3,fmm,2017,Error: Bad frequency in data
ercot,node,STP_STP_G2,fmm,2017,Error: Bad frequency in data
ercot,node,BCATWD_WD_1,fmm,2017,Error: Bad frequency in data
ercot,node,BORDAS_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,CASL_GAP_UN1,fmm,2017,Error: Bad frequency in data
ercot,node,CBECII_1,fmm,2017,Error: Bad frequency in data
ercot,node,DIB_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,DOW_G37_G35,fmm,2017,Error: Bad frequency in data
ercot,node,FREC_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,GUADG_CCU2,fmm,2017,Error: Bad frequency in data
ercot,node,JCKCNTY2_CT4,fmm,2017,Error: Bad frequency in data
ercot,node,LEG_LEG_G2,fmm,2017,Error: Bad frequency in data
ercot,node,MIAM1_G1_G2,fmm,2017,Error: Bad frequency in data
ercot,node,VISTRON_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,BTE_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,CSC_CSECG1_2,fmm,2017,Error: Bad frequency in data
ercot,node,DDPEC_GT3,fmm,2017,Error: Bad frequency in data
ercot,node,ELECTRAW_1_2,fmm,2017,Error: Bad frequency in data
ercot,node,MLSES_UNIT3,fmm,2017,Error: Bad frequency in data
ercot,node,NUE_NUECESG9,fmm,2017,Error: Bad frequency in data
ercot,node,PSA_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,PYR_PYRON1,fmm,2017,Error: Bad frequency in data
ercot,node,TEN_CT1_STG,fmm,2017,Error: Bad frequency in data
ercot,node,BFM_HYD_ST1,fmm,2017,Error: Bad frequency in data
ercot,node,GUNMTN_NODE,fmm,2017,Error: Bad frequency in data
ercot,node,MIL_MILG1_2,fmm,2017,Error: Bad frequency in data
ercot,node,NACPW_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,NWF_NWF1,fmm,2017,Error: Bad frequency in data
ercot,node,SCLP_PUN4,fmm,2017,Error: Bad frequency in data
ercot,node,TXCTY_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,WAP_WAP_G6,fmm,2017,Error: Bad frequency in data
ercot,node,BR_VHB6CT5_6,fmm,2017,Error: Bad frequency in data
ercot,node,BUCHAN_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,BYU_BYU_1,fmm,2017,Error: Bad frequency in data
ercot,node,B_DAVIS_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,CBEC_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,CTL_GT_104,fmm,2017,Error: Bad frequency in data
ercot,node,DIB_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,HHOLLW4_WND1,fmm,2017,Error: Bad frequency in data
ercot,node,NCARBID_PUN2,fmm,2017,Error: Bad frequency in data
